"ID","Name","Reference ID","Description","Date Added","Date Last Modified","Filename","Resolution","Duration(sec)","HLS Renditions (bitrate range KBPS)","MP4 Renditions (bitrate range KBPS)","FLV Renditions (bitrate range KBPS)","Total Rendition Size (MB)","0","1",
"1754261691001","Sea_ClownFish","1754261691001","Sea_ClownFish","2012-07-25T20:31:41.237Z","2017-10-23T11:57:00.317Z","Sea_ClownFish.mp4","640x344","30","4 (440-1683)","7 (137.917-1683)","0 (0-0)","NaN","","",
"1754276207001","Sea_Anemone","1754276207001","Sea_Anemone","2012-07-25T20:31:50.245Z","2017-10-23T11:56:51.256Z","Sea_Anemone.mp4","640x344","25.6","4 (464.488-1629)","7 (137.969-1629)","0 (0-0)","NaN","","",
"1754276209001","Bugs-Butterfly","1754276209001","Bugs-Butterfly","2012-07-25T20:31:53.784Z","2017-10-23T11:56:49.711Z","Bugs-Butterfly.mp4","480x270","27.495","1 (440-440)","4 (131.607-500)","0 (0-0)","NaN","","",
"1754261699001","Bugs-Bee","1754261699001","Bugs-Bee","2012-07-25T20:34:13.393Z","2017-10-23T11:56:50.313Z","Bugs-Bee.mp4","720x538","30","4 (440-1928)","6 (138.198-1800)","0 (0-0)","NaN","","",
"1754261498001","Bird_Woodpecker","1754261498001","Bird_Woodpecker","2012-07-25T20:34:20.114Z","2017-10-23T11:56:53.473Z","Bird_Woodpecker.mp4","640x344","18.159","4 (440-1622)","7 (132.921-1629)","0 (0-0)","NaN","","",
"1754276221001","Bird_Chickadee","1754276221001","Bird_Titmouse","2012-07-25T20:34:24.890Z","2017-10-23T11:57:02.549Z","Bird_Titmouse.mp4","640x344","8.242","4 (402.613-1534.029)","7 (116.33-1633)","0 (0-0)","NaN","","",
"1754261702001","Bird_Seagulls","1754261702001","Bird_Seagulls","2012-07-25T20:35:18.025Z","2017-10-23T11:56:47.186Z","Bird_Seagulls.mp4","1280x720","27.99","4 (440-1863)","6 (161.034-1730.393)","0 (0-0)","NaN","","",
"1754261510001","Bird_Robin","1754261510001","Bird_Robin","2012-07-25T20:37:14.434Z","2017-10-23T11:56:52.232Z","Bird_Robin.mp4","1280x720","27.009","4 (440-1864)","6 (147.801-1736.002)","0 (0-0)","NaN","","",
"1754276232001","Bird_Peacock","1754276232001","Bird_Peacock","2012-07-25T20:40:00.256Z","2017-10-23T11:57:02.197Z","Bird_Peacock.mp4","1280x720","28.734","4 (440-1864)","6 (162.777-1639.953)","0 (0-0)","NaN","","",
"1754261716001","Bird_Magpie","1754261716001","Bird_Magpie","2012-07-25T20:40:35.304Z","2017-10-23T11:57:35.299Z","Bird_Magpie.mp4","1280x720","13.496","4 (440-1858)","6 (154.776-1727.41)","0 (0-0)","NaN","","",
"1756137891001","Yellow Seahorses","1756137891001","Yellow Seahorses","2012-07-26T18:46:41.344Z","2017-10-23T11:57:06.974Z","Yellow Seahorses.mov","1920x1080","16.017","4 (476.951-1772.831)","7 (130.518-34049)","0 (0-0)","NaN","","",
"1756145340001","Leafy seadragon","1756145340001","Leafy seadragon","2012-07-26T18:46:58.030Z","2017-10-23T11:57:04.930Z","Leafy seadragon.mp4","1280x720","53.521","4 (440-1375.908)","7 (134.189-1412.886)","0 (0-0)","NaN","","",
"1866729857001","Restricting Video Playback - captions sample","1866729857001","Node 8150 Captions Sample","2012-09-28T18:31:24.689Z","2017-10-23T11:57:05.227Z","Restricting Video Playback.mp4","1280x720","167.068","4 (440-1906)","6 (99.541-1076.287)","0 (0-0)","NaN","","",
"1926945850001","SupportBumper","1926945850001","SupportBumper","2012-10-26T18:36:46.114Z","2017-10-23T11:57:01.517Z","SupportBumper.mp4","480x268","3.53","0 (0-0)","2 (98.036-119.277)","0 (0-0)","NaN","","",
